trade_date,open,high,close,low,vol
20190102,15.21,15.26,15.1,15.01,5176.19
20190103,15.0,15.25,14.99,14.9,6605.0
20190104,14.63,15.22,15.2,14.62,11463.0
20190107,15.2,15.59,15.4,15.13,11893.32
20190108,15.4,15.73,15.43,15.31,11579.96
20190109,15.43,15.65,15.43,15.42,10606.57
20190110,15.21,15.55,15.29,15.21,6244.0
20190111,15.29,15.52,15.46,15.22,8253.0
20190114,15.5,15.6,15.31,15.28,5935.98
20190115,15.45,15.46,15.43,15.1,6456.0
20190116,15.46,15.68,15.61,15.38,13606.08
20190117,15.63,15.63,15.19,15.08,10569.08
20190118,15.19,15.4,15.3,15.11,7860.98
20190121,15.19,15.55,15.37,15.19,7637.0
20190122,15.26,15.38,15.26,15.18,7100.0
20190123,15.2,15.3,15.23,15.16,3720.0
20190124,15.22,15.52,15.44,15.2,13482.59
20190125,15.28,15.6,15.31,15.25,9363.59
20190128,15.48,15.49,15.16,15.12,6283.98
20190129,15.29,15.29,14.78,14.7,9387.61
20190130,14.78,14.89,14.51,14.51,5880.0
20190131,14.51,14.64,13.18,13.09,21278.21
20190201,13.2,13.59,13.55,13.2,7492.53
20190211,13.62,13.97,13.93,13.58,8019.0
20190212,13.98,14.53,14.22,13.98,12597.98
20190213,14.17,14.63,14.45,14.14,14423.81
20190214,14.47,14.67,14.45,14.39,9587.61
20190215,14.45,14.55,14.48,14.36,9323.59
20190218,14.56,14.92,14.91,14.56,14032.22
20190219,15.0,15.22,15.04,14.75,17700.0
20190220,15.04,15.04,14.93,14.83,11417.22
20190221,14.87,15.1,14.83,14.79,13801.61
20190222,14.82,15.07,15.02,14.76,16196.08
20190225,15.19,15.55,15.53,15.0,31301.9
20190226,15.6,16.25,15.64,15.35,33138.5
20190227,15.68,15.8,15.5,15.4,18626.12
20190228,15.51,16.08,15.85,15.5,22794.18
20190301,16.0,16.0,15.85,15.68,14735.61
20190304,15.85,16.22,15.97,15.85,24461.61
20190305,15.89,16.23,16.23,15.89,20452.19
20190306,16.24,16.69,16.52,16.13,28153.31
20190307,16.61,16.88,16.77,16.25,33946.03
20190308,16.69,16.69,15.9,15.9,29043.88
20190311,15.9,16.56,16.53,15.9,20160.95
20190312,16.83,16.85,16.81,16.51,29536.06
20190313,16.8,17.16,16.47,16.4,21848.86
20190314,16.38,16.6,16.06,15.57,23093.47
20190315,15.96,16.57,16.33,15.96,14000.42
20190318,16.65,16.83,16.7,16.21,17644.73
20190319,16.96,17.6,17.22,16.69,41290.79
20190320,16.93,17.01,16.81,16.55,25954.61
20190321,16.81,16.89,16.74,16.68,21896.22
20190322,16.85,16.92,16.84,16.65,13377.41
20190325,16.58,16.83,16.55,16.44,12429.83
20190326,16.58,16.73,16.07,16.01,15062.96
20190327,16.37,16.48,16.45,16.0,11926.0
20190328,16.5,16.82,16.63,16.28,17455.0
20190329,16.46,16.9,16.8,16.11,20744.0
20190401,16.58,18.15,17.92,16.58,63632.3
20190402,18.15,18.26,17.55,17.42,66953.06
20190403,17.24,18.43,17.82,17.24,54242.58
20190404,17.66,17.79,17.42,17.26,35517.31
20190408,17.36,17.72,17.2,16.96,22368.47
20190409,17.1,17.34,17.3,17.03,14952.22
20190410,17.1,17.84,17.58,17.1,33824.33
20190411,17.68,17.68,16.81,16.76,27707.49
20190412,16.69,16.95,16.52,16.42,16022.0
20190415,16.66,16.81,16.33,16.32,11953.0
20190416,16.32,16.57,16.55,16.11,12873.0
20190417,16.55,16.89,16.66,16.49,12737.42
20190418,16.78,16.78,16.68,16.57,7610.22
20190419,16.63,16.85,16.73,16.5,9963.0
20190422,17.79,17.79,16.78,16.69,18055.61
20190423,16.7,16.7,16.17,16.05,16402.61
20190424,16.2,16.29,16.08,15.72,14331.0
20190425,16.01,16.05,15.31,15.31,12890.03
20190426,15.22,15.51,15.24,15.16,8764.87
20190429,15.24,15.4,14.56,14.4,8350.08
20190430,14.89,14.95,14.83,14.64,5277.61
20190506,14.57,14.57,13.6,13.5,12061.84
20190507,13.64,14.15,13.96,13.64,7735.5
20190508,13.87,14.12,13.95,13.54,6683.0
