trade_date,open,high,close,low,vol
20190102,11.22,11.35,11.2,11.16,11300.02
20190103,11.27,11.35,11.03,11.0,17070.1
20190104,10.89,11.29,11.25,10.73,22057.0
20190107,11.28,11.58,11.56,11.26,26717.52
20190108,11.49,11.5,11.44,11.35,17521.0
20190109,11.45,11.62,11.3,11.3,21737.0
20190110,11.31,11.46,11.25,11.19,15717.62
20190111,11.26,11.52,11.48,11.25,21819.34
20190114,11.59,12.58,11.8,11.48,58232.9
20190115,11.69,12.25,12.06,11.69,53973.02
20190116,11.92,12.26,11.94,11.86,34840.0
20190117,11.83,11.98,11.73,11.61,26067.39
20190118,11.74,12.5,12.14,11.6,72952.41
20190121,12.0,12.16,12.08,11.86,40818.0
20190122,12.01,12.32,12.14,11.85,46846.24
20190123,12.03,12.94,12.69,12.0,103251.06
20190124,12.52,12.69,12.54,12.3,64664.96
20190125,12.48,12.51,12.19,12.14,41646.0
20190128,12.22,12.31,11.9,11.86,30184.62
20190129,11.84,12.06,11.23,10.71,37448.6
20190130,11.05,11.21,10.98,10.88,23187.0
20190131,10.95,11.12,10.42,10.21,30058.77
20190201,10.59,10.84,10.8,10.5,16160.0
20190211,11.0,11.24,11.18,10.82,19924.42
20190212,11.17,11.28,11.23,11.06,24618.72
20190213,11.27,11.55,11.41,11.15,32432.62
20190214,11.41,11.96,11.76,11.34,50976.62
20190215,11.69,11.74,11.57,11.48,28837.62
20190218,11.58,12.1,12.05,11.58,50837.11
20190219,11.97,12.07,11.97,11.82,39933.39
20190220,12.02,12.32,12.14,11.88,50320.96
20190221,12.02,12.1,11.85,11.79,46703.72
20190222,11.8,12.07,12.05,11.77,34197.52
20190225,12.18,12.62,12.56,12.02,73890.58
20190226,12.61,13.58,12.84,12.37,118608.62
20190227,12.66,12.94,12.6,12.51,66623.86
20190228,12.64,12.89,12.76,12.6,37453.86
20190301,12.76,12.83,12.67,12.54,32126.64
20190304,12.67,13.19,12.83,12.67,55559.52
20190305,12.71,13.25,13.22,12.61,65994.62
20190306,13.29,13.54,13.47,13.05,74919.86
20190307,13.4,14.19,14.06,13.2,105140.66
20190308,13.95,13.95,12.91,12.86,84066.04
20190311,12.9,13.44,13.4,12.9,45875.88
20190312,13.43,13.76,13.61,13.25,69564.62
20190313,13.59,13.86,13.33,13.26,59479.62
20190314,13.37,13.66,12.93,12.7,41553.62
20190315,13.14,13.61,13.37,13.03,54990.24
20190318,13.56,13.7,13.7,13.22,55417.24
20190319,13.65,13.8,13.54,13.36,45905.8
20190320,13.54,13.65,13.46,13.14,35252.95
20190321,13.4,13.71,13.71,13.4,56772.62
20190322,13.73,13.83,13.72,13.39,46445.88
20190325,13.57,13.64,13.31,13.31,32259.98
20190326,13.35,13.48,12.94,12.88,32845.98
20190327,13.04,13.33,13.29,12.81,31584.0
20190328,13.26,13.37,13.09,13.05,23311.0
20190329,13.1,13.49,13.45,12.93,34312.62
20190401,13.5,14.01,13.87,13.45,83335.24
20190402,13.89,14.63,14.29,13.74,116565.62
20190403,14.19,14.57,14.21,14.11,79455.0
20190404,14.31,14.49,14.02,13.93,83659.64
20190408,14.05,14.36,14.15,13.82,69613.0
20190409,14.15,14.15,13.89,13.67,54329.0
20190410,13.74,13.74,13.64,13.4,54470.62
20190411,13.6,13.67,13.18,13.16,40135.0
20190412,13.17,13.4,13.31,13.12,31634.62
20190415,13.41,13.57,13.17,13.11,32692.0
20190416,13.11,13.56,13.53,13.04,35063.61
20190417,13.48,13.6,13.52,13.38,34353.62
20190418,13.5,13.57,13.2,13.2,31445.0
20190419,13.25,13.34,13.3,13.07,24182.08
20190422,13.34,13.47,13.3,13.28,29399.08
20190423,13.3,13.3,12.88,12.81,40158.0
20190424,12.93,12.99,12.93,12.67,27510.0
20190425,12.62,12.94,12.22,12.04,32470.0
20190426,12.1,12.35,12.2,12.02,20558.0
20190429,12.18,12.22,11.61,11.54,29307.0
20190430,11.61,11.87,11.81,11.61,15727.0
20190506,11.36,11.48,10.83,10.63,27585.13
20190507,10.93,11.13,11.05,10.83,22268.26
20190508,10.92,11.3,11.09,10.7,19091.0
20190509,11.09,11.3,11.12,11.0,17906.0
20190510,11.19,11.42,11.39,11.01,25970.59
20190513,11.4,11.79,11.44,11.29,22356.0
20190514,11.21,11.48,11.28,11.21,13134.0
20190515,11.41,11.55,11.48,11.33,18809.0
20190516,11.55,11.75,11.64,11.43,24049.08
20190517,11.65,11.66,11.06,10.96,29018.53
20190520,10.9,11.17,11.1,10.78,15143.64
20190521,11.11,11.42,11.29,11.03,19264.0
20190522,11.22,11.28,10.91,10.85,29727.0
20190523,10.89,11.0,10.67,10.64,18979.08
20190524,10.62,10.81,10.68,10.6,12657.56
20190527,10.8,11.18,10.99,10.63,21295.21
20190528,10.99,11.2,11.09,10.95,23525.15
20190529,11.09,11.24,11.13,11.04,14682.0
20190530,11.08,11.45,11.37,10.94,29674.64
20190531,11.35,11.93,11.62,11.22,51986.0
20190603,11.49,11.57,11.15,11.11,34524.1
20190604,11.15,11.17,10.84,10.75,17603.0
20190605,10.91,11.06,10.95,10.88,15817.64
20190606,10.95,10.97,10.68,10.56,21358.48
20190610,10.68,10.93,10.87,10.63,15127.62
20190611,10.83,11.36,11.34,10.83,27981.68
20190612,11.24,11.9,11.39,11.24,50026.56
20190613,11.39,11.54,11.49,11.13,36465.48
20190614,11.41,11.79,11.18,11.16,34881.77
20190617,11.2,11.69,11.68,11.11,45723.0
20190618,11.69,11.69,11.2,11.2,47507.25
20190619,11.4,11.55,11.55,11.28,45141.48
20190620,11.55,11.68,11.61,11.35,43047.69
20190621,11.61,11.88,11.77,11.56,56431.07
20190624,11.72,11.79,11.64,11.58,28788.48
20190625,11.61,11.78,11.6,11.34,31451.2
20190626,11.59,11.59,11.43,11.42,19982.0
20190627,11.41,11.7,11.66,11.4,28579.0
